ID Consumidor,Gênero,Estado civil,Pets,Bairro
3,F,Casado(a),1,Itaquera
62,F,Casado(a),1,Itaquera
91,F,Casado(a),1,Itaquera
160,F,Casado(a),1,Itaquera
169,F,Casado(a),1,Itaquera
177,F,Casado(a),1,Itaquera
182,F,Casado(a),1,Itaquera
190,F,Casado(a),1,Itaquera
229,F,Casado(a),1,Itaquera
304,F,Casado(a),1,Itaquera
317,F,Casado(a),1,Itaquera
319,F,Casado(a),1,Itaquera
341,F,Casado(a),1,Itaquera
346,F,Casado(a),1,Itaquera
369,F,Casado(a),1,Itaquera
392,F,Casado(a),1,Itaquera
411,F,Casado(a),1,Itaquera
448,F,Casado(a),1,Itaquera
472,F,Casado(a),1,Itaquera
533,F,Casado(a),1,Itaquera
698,F,Casado(a),1,Itaquera
719,F,Casado(a),1,Itaquera
774,F,Casado(a),1,Itaquera
828,F,Casado(a),1,Itaquera
968,F,Casado(a),1,Itaquera
1024,F,Casado(a),1,Itaquera
1052,F,Casado(a),1,Itaquera
1168,F,Casado(a),1,Itaquera
1205,F,Casado(a),1,Itaquera
1221,F,Casado(a),1,Itaquera
1254,F,Casado(a),1,Itaquera
1313,F,Casado(a),1,Itaquera
1485,F,Casado(a),1,Itaquera
1531,F,Casado(a),1,Itaquera
1583,F,Casado(a),1,Itaquera
1607,F,Casado(a),1,Itaquera
1647,F,Casado(a),1,Itaquera
1659,F,Casado(a),1,Itaquera
1807,F,Casado(a),1,Itaquera
1940,F,Casado(a),1,Itaquera
1987,F,Casado(a),1,Itaquera
1996,F,Casado(a),1,Itaquera
2059,F,Casado(a),1,Itaquera
2084,F,Casado(a),1,Itaquera
2248,F,Casado(a),1,Itaquera
2420,F,Casado(a),1,Itaquera
2438,F,Casado(a),1,Itaquera
2667,F,Casado(a),1,Itaquera
2750,F,Casado(a),1,Itaquera
2821,F,Casado(a),1,Itaquera
2897,F,Casado(a),1,Itaquera
2947,F,Casado(a),1,Itaquera
3001,F,Casado(a),1,Itaquera
3020,F,Casado(a),1,Itaquera
3153,F,Casado(a),1,Itaquera
3160,F,Casado(a),1,Itaquera
3164,F,Casado(a),1,Itaquera
3172,F,Casado(a),1,Itaquera
3490,F,Casado(a),1,Itaquera
3499,F,Casado(a),1,Itaquera
3513,F,Casado(a),1,Itaquera
3548,F,Casado(a),1,Itaquera
3749,F,Casado(a),1,Itaquera
3751,F,Casado(a),1,Itaquera
3840,F,Casado(a),1,Itaquera
3917,F,Casado(a),1,Itaquera
3994,F,Casado(a),1,Itaquera
4030,F,Casado(a),1,Itaquera
4114,F,Casado(a),1,Itaquera
4191,F,Casado(a),1,Itaquera
4352,F,Casado(a),1,Itaquera
4367,F,Casado(a),1,Itaquera
4434,F,Casado(a),1,Itaquera
4459,F,Casado(a),1,Itaquera
4813,F,Casado(a),1,Itaquera
4815,F,Casado(a),1,Itaquera
4855,F,Casado(a),1,Itaquera
5133,F,Casado(a),1,Itaquera
5342,F,Casado(a),1,Itaquera
5345,F,Casado(a),1,Itaquera
5349,F,Casado(a),1,Itaquera
5541,F,Casado(a),1,Itaquera
5636,F,Casado(a),1,Itaquera
5663,F,Casado(a),1,Itaquera
5905,F,Casado(a),1,Itaquera
5942,F,Casado(a),1,Itaquera
6014,F,Casado(a),1,Itaquera
6065,F,Casado(a),1,Itaquera
6123,F,Casado(a),1,Itaquera
6129,F,Casado(a),1,Itaquera
6208,F,Casado(a),1,Itaquera
6232,F,Casado(a),1,Itaquera
6301,F,Casado(a),1,Itaquera
6313,F,Casado(a),1,Itaquera
6471,F,Casado(a),1,Itaquera
6510,F,Casado(a),1,Itaquera
6554,F,Casado(a),1,Itaquera
6574,F,Casado(a),1,Itaquera
6590,F,Casado(a),1,Itaquera
6710,F,Casado(a),1,Itaquera
6864,F,Casado(a),1,Itaquera
6902,F,Casado(a),1,Itaquera
7033,F,Casado(a),1,Itaquera
7101,F,Casado(a),1,Itaquera
