Transacao,Data de compra,ID Consumidor,ID Produto,Quantidade,Venda_unitaria,Faturamento
57,"terça-feira, 5 de janeiro de 2021",3533,14,4,"R$ 2,5",R$ 10
96,"terça-feira, 12 de janeiro de 2021",7702,14,4,"R$ 2,5",R$ 10
202,"sábado, 23 de janeiro de 2021",3776,14,4,"R$ 2,5",R$ 10
241,"quarta-feira, 27 de janeiro de 2021",10026,14,4,"R$ 2,5",R$ 10
293,"domingo, 31 de janeiro de 2021",3012,14,4,"R$ 2,5",R$ 10
294,"segunda-feira, 1 de fevereiro de 2021",6083,14,4,"R$ 2,5",R$ 10
305,"segunda-feira, 1 de fevereiro de 2021",6675,14,4,"R$ 2,5",R$ 10
566,"terça-feira, 23 de fevereiro de 2021",6949,14,4,"R$ 2,5",R$ 10
578,"quarta-feira, 24 de fevereiro de 2021",9977,14,4,"R$ 2,5",R$ 10
791,"quinta-feira, 11 de março de 2021",7149,14,4,"R$ 2,5",R$ 10
794,"quinta-feira, 11 de março de 2021",6551,14,4,"R$ 2,5",R$ 10
860,"segunda-feira, 15 de março de 2021",1392,14,4,"R$ 2,5",R$ 10
861,"terça-feira, 16 de março de 2021",9745,14,4,"R$ 2,5",R$ 10
866,"terça-feira, 16 de março de 2021",9703,14,4,"R$ 2,5",R$ 10
888,"quinta-feira, 18 de março de 2021",2389,14,4,"R$ 2,5",R$ 10
931,"sábado, 20 de março de 2021",5167,14,4,"R$ 2,5",R$ 10
951,"domingo, 21 de março de 2021",6841,14,4,"R$ 2,5",R$ 10
959,"segunda-feira, 22 de março de 2021",2756,14,4,"R$ 2,5",R$ 10
1074,"segunda-feira, 29 de março de 2021",7434,14,4,"R$ 2,5",R$ 10
1165,"segunda-feira, 5 de abril de 2021",5002,14,4,"R$ 2,5",R$ 10
1173,"segunda-feira, 5 de abril de 2021",4564,14,4,"R$ 2,5",R$ 10
1195,"quarta-feira, 7 de abril de 2021",6997,14,4,"R$ 2,5",R$ 10
1230,"sábado, 10 de abril de 2021",3977,14,4,"R$ 2,5",R$ 10
1242,"sábado, 10 de abril de 2021",9134,14,4,"R$ 2,5",R$ 10
1253,"domingo, 11 de abril de 2021",5396,14,4,"R$ 2,5",R$ 10
1321,"quinta-feira, 15 de abril de 2021",594,14,4,"R$ 2,5",R$ 10
1431,"sexta-feira, 23 de abril de 2021",1602,14,4,"R$ 2,5",R$ 10
1541,"domingo, 2 de maio de 2021",6739,14,4,"R$ 2,5",R$ 10
1543,"domingo, 2 de maio de 2021",1631,14,4,"R$ 2,5",R$ 10
1640,"sexta-feira, 7 de maio de 2021",8158,14,4,"R$ 2,5",R$ 10
1721,"sábado, 15 de maio de 2021",10120,14,4,"R$ 2,5",R$ 10
1726,"sábado, 15 de maio de 2021",4700,14,4,"R$ 2,5",R$ 10
1750,"segunda-feira, 17 de maio de 2021",5182,14,4,"R$ 2,5",R$ 10
1766,"quarta-feira, 19 de maio de 2021",6964,14,4,"R$ 2,5",R$ 10
1778,"quarta-feira, 19 de maio de 2021",4850,14,4,"R$ 2,5",R$ 10
1853,"terça-feira, 25 de maio de 2021",4490,14,4,"R$ 2,5",R$ 10
1857,"quarta-feira, 26 de maio de 2021",5867,14,4,"R$ 2,5",R$ 10
1867,"quarta-feira, 26 de maio de 2021",9931,14,4,"R$ 2,5",R$ 10
1926,"segunda-feira, 31 de maio de 2021",5855,14,4,"R$ 2,5",R$ 10
1956,"quarta-feira, 2 de junho de 2021",192,14,4,"R$ 2,5",R$ 10
2023,"terça-feira, 8 de junho de 2021",7362,14,4,"R$ 2,5",R$ 10
2031,"terça-feira, 8 de junho de 2021",1481,14,4,"R$ 2,5",R$ 10
